"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"mmu00330",38,0.83267,4,0.0083444,4.7862,0.70093,0.70093,0.18375
"mmu00340",16,0.3506,2,0.046138,3.0761,1,1,0.04918
"mmu00410",21,0.46016,2,0.075455,2.5842,1,1,0.05597
"mmu00620",22,0.48207,2,0.081889,2.5024,1,1,0.15397
"mmu00072",5,0.10956,1,0.105,2.2538,1,1,0
"mmu00010",26,0.56972,2,0.10918,2.2147,1,1,0.04169
"mmu00730",7,0.15339,1,0.14393,1.9384,1,1,0
"mmu00230",66,1.4462,3,0.17297,1.7546,1,1,0.15824
"mmu00750",9,0.19721,1,0.18122,1.708,1,1,0
"mmu00564",36,0.78884,2,0.1853,1.6858,1,1,0.01925
"mmu00360",12,0.26295,1,0.23422,1.4515,1,1,0
"mmu00220",14,0.30677,1,0.26769,1.3179,1,1,0.11675
"mmu00650",15,0.32869,1,0.28388,1.2592,1,1,0
"mmu00760",15,0.32869,1,0.28388,1.2592,1,1,0
"mmu00900",18,0.39442,1,0.33042,1.1074,1,1,0
"mmu00020",20,0.43825,1,0.3598,1.0222,1,1,0.03668
"mmu00600",21,0.46016,1,0.37401,0.98346,1,1,0.00406
"mmu00640",23,0.50398,1,0.40154,0.91246,1,1,0.01269
"mmu00310",25,0.54781,1,0.42788,0.8489,1,1,0
"mmu00052",27,0.59163,1,0.4531,0.79163,1,1,0.03235
"mmu00480",28,0.61355,1,0.46531,0.76506,1,1,0
"mmu00250",28,0.61355,1,0.46531,0.76506,1,1,0.02163
"mmu00562",30,0.65737,1,0.48892,0.71555,1,1,0
"mmu00630",32,0.7012,1,0.51153,0.67035,1,1,0.00794
"mmu00270",33,0.72311,1,0.52247,0.6492,1,1,0
"mmu00520",37,0.81076,1,0.56388,0.57291,1,1,0.03137
"mmu00071",39,0.85458,1,0.58326,0.53912,1,1,0.18092
"mmu00062",39,0.85458,1,0.58326,0.53912,1,1,0.25661
"mmu00280",40,0.87649,1,0.59264,0.52317,1,1,0.02836
"mmu00380",41,0.89841,1,0.60181,0.50782,1,1,0
"mmu00061",47,1.0299,1,0.65277,0.42654,1,1,0.00213
"mmu00970",48,1.0518,1,0.66062,0.41458,1,1,0
